"1 (n=22) Mean +/- SD";"4 (n=78) Mean +/- SD";"1 (n=22) Median (IQR)";"4 (n=78) Median (IQR)";"Pval_Shapiro";"Pval_Levene";"Pval_Bartlett";"Pval_ANOVA*";"4 - 1 (Tukey*)"
"X_1313214.txt.gz1.tbl.gz";"0.034997 +/- 0.052926";"0.023014 +/- 0.048538";"0.035762 (0.01215;0.06545)";"0.01215 (0.006075;0.06545)";9.2169e-07;0.37148;0.61628;0.31855;0.31855
"X_1411534.txt.gz1.tbl.gz";"-0.042223 +/- 0.050182";"-0.050606 +/- 0.04727";"-0.02605 (-0.077038;0)";"-0.0521 (-0.08535;0)";9.7285e-09;0.48162;0.7305;0.47024;0.47024
"X_14116129.txt.gz1.tbl.gz";"-0.027545 +/- 0.070953";"-0.023308 +/- 0.064954";"0 (0;0)";"0 (0;0)";1.2279e-18;0.79169;0.60892;0.79169;0.79169
"X_1412334.txt.gz1.tbl.gz";"0.15069 +/- 0.050884";"0.13785 +/- 0.047219";"0.1792 (0.112;0.1792)";"0.1792 (0.0896;0.1792)";1.2584e-13;0.27062;0.66582;0.27062;0.27062
"X_1413137.txt.gz1.tbl.gz";"-0.044825 +/- 0.04588";"-0.055169 +/- 0.059975";"-0.044825 (-0.08965;0)";"-0.08965 (-0.08965;0)";7.3086e-12;0.39897;0.14786;0.45594;0.45594
"X_1413393.txt.gz1.tbl.gz";"-0.068836 +/- 0.064317";"-0.064718 +/- 0.080701";"-0.1262 (-0.1262;0)";"0 (-0.1262;0)";1.7024e-12;0.69504;0.21643;0.82619;0.82619
"X_1413449.txt.gz1.tbl.gz";"-0.010487 +/- 0.031553";"-0.01508 +/- 0.039934";"0 (-0.046075;0)";"0 (-0.046075;0)";3.3485e-07;0.38662;0.20025;0.62045;0.62045
"X_141353.txt.gz1.tbl.gz";"0.2433 +/- 0.045856";"0.2293 +/- 0.06715";"0.2611 (0.2611;0.2611)";"0.2611 (0.2611;0.2611)";7.2991e-17;0.36107;0.044154;0.36107;0.36107
"X_141514.txt.gz1.tbl.gz";"0.27255 +/- 0.16432";"0.14159 +/- 0.15653";"0.21415 (0.21415;0.4283)";"0.16839 (0;0.21415)";1.1593e-10;0.96124;0.78009;0.00088879;0.00088879
"X_1415721.txt.gz1.tbl.gz";"-0.15748 +/- 0.075258";"-0.17375 +/- 0.052215";"-0.2038 (-0.2038;-0.1019)";"-0.2038 (-0.2038;-0.1019)";4.858e-15;0.24745;0.026541;0.24745;0.24745
"X_1415817.txt.gz1.tbl.gz";"-0.055782 +/- 0.053882";"-0.052117 +/- 0.048657";"-0.0767 (-0.0767;0)";"-0.0767 (-0.0767;0)";3.0994e-11;0.70985;0.55367;0.76121;0.76121
"X_1458349.txt.gz1.tbl.gz";"0.27882 +/- 0.060538";"0.29097 +/- 0.046826";"0.3067 (0.3067;0.3067)";"0.3067 (0.3067;0.3067)";1.2279e-18;0.31724;0.12554;0.31724;0.31724
"X_219055.txt.gz1.tbl.gz";"-0.072992 +/- 0.048308";"-0.078251 +/- 0.045179";"-0.075887 (-0.11071;-0.035927)";"-0.070921 (-0.11355;-0.045708)";0.66525;0.80129;0.69926;0.63586;0.63586
"X_224720.txt.gz1.tbl.gz";"0.035816 +/- 0.044058";"0.035918 +/- 0.049758";"0 (0;0.08755)";"0 (0;0.08755)";1.0439e-13;0.99308;0.49849;0.99308;0.99308
"X_233372.txt.gz1.tbl.gz";"0.14129 +/- 0.034186";"0.12466 +/- 0.045576";"0.1594 (0.1594;0.1594)";"0.1594 (0.0797;0.1594)";6.092e-14;0.11562;0.12184;0.11562;0.11562
"X_235819.txt.gz1.tbl.gz";"-0.018708 +/- 0.062224";"-0.010915 +/- 0.052146";"-0.0096607 (-0.056257;0.02417)";"-0.012954 (-0.04458;0.016711)";0.60295;0.34238;0.29848;0.55471;0.55471
"X_24217.txt.gz1.tbl.gz";"-0.044832 +/- 0.051198";"-0.033419 +/- 0.043568";"-0.035225 (-0.07045;0)";"0 (-0.07045;0)";1.2456e-12;0.24336;0.34364;0.29932;0.29932
"X_242927.txt.gz1.tbl.gz";"-0.054327 +/- 0.039076";"-0.055333 +/- 0.047155";"-0.0664 (-0.0664;-0.0166)";"-0.0664 (-0.0664;0)";1.7115e-10;0.18298;0.30217;0.92728;0.92728
"X_247454.txt.gz1.tbl.gz";"0.047855 +/- 0.05465";"0.030851 +/- 0.042739";"0.0376 (0;0.0752)";"0 (0;0.0752)";3.8886e-13;0.079946;0.14329;0.12528;0.12528
"X_250549.txt.gz1.tbl.gz";"0.070045 +/- 0.052623";"0.072154 +/- 0.050381";"0.067 (0.01675;0.134)";"0.067 (0.067;0.134)";4.0419e-10;0.8247;0.80251;0.86403;0.86403
"X_251514.txt.gz1.tbl.gz";"0.18137 +/- 0.04094";"0.17228 +/- 0.038605";"0.17531 (0.17198;0.2156)";"0.17198 (0.15656;0.2156)";7.9215e-09;0.6553;0.73514;0.33767;0.33767
"X_251657.txt.gz1.tbl.gz";"-0.057082 +/- 0.10188";"-0.0345 +/- 0.087016";"0 (-0.13455;0)";"0 (0;0)";4.2378e-17;0.30336;0.35502;0.30336;0.30336
"X_252456.txt.gz1.tbl.gz";"-0.067536 +/- 0.042184";"-0.086962 +/- 0.042708";"-0.0646 (-0.0646;-0.0646)";"-0.0646 (-0.1292;-0.0646)";5.6913e-11;0.24271;0.94408;0.061834;0.061834
"X_252653.txt.gz1.tbl.gz";"0.081773 +/- 0.061505";"0.11993 +/- 0.064289";"0.08995 (0.022488;0.08995)";"0.08995 (0.08995;0.1799)";1.0932e-10;0.18054;0.80251;0.014785;0.014785
"X_255851.txt.gz1.tbl.gz";"-0.019882 +/- 0.046073";"-0.015274 +/- 0.055174";"-0.01905 (-0.01905;-0.01905)";"-0.01905 (-0.01905;0.039919)";2.7108e-08;0.37514;0.32158;0.7213;0.7213
"X_25675.txt.gz1.tbl.gz";"0.06375 +/- 0.094105";"0.08451 +/- 0.091368";"0 (0;0.14025)";"0.14025 (0;0.14025)";5.1122e-12;0.34944;0.86573;0.35202;0.35202
"X_257112.txt.gz1.tbl.gz";"-0.11965 +/- 0.082566";"-0.095106 +/- 0.075572";"-0.11965 (-0.11965;-0.11965)";"-0.11965 (-0.11965;0)";8.5141e-11;0.87787;0.6082;0.19049;0.19049
"X_257917.txt.gz1.tbl.gz";"-0.018973 +/- 0.041194";"-0.024081 +/- 0.047338";"0 (0;0)";"0 (0;0)";1.5924e-16;0.64718;0.44087;0.64718;0.64718
"X_258083.txt.gz1.tbl.gz";"0.033745 +/- 0.035676";"0.052194 +/- 0.041984";"0.033925 (0;0.057024)";"0.033925 (0.033925;0.06785)";5.2578e-07;0.62039;0.36899;0.063491;0.063491
"X_25978.txt.gz1.tbl.gz";"0.10596 +/- 0.0732";"0.11564 +/- 0.060512";"0.10135 (0.10135;0.17736)";"0.10135 (0.10135;0.17736)";4.6927e-11;0.283;0.26155;0.52858;0.52858
"X_25989.txt.gz1.tbl.gz";"-0.058786 +/- 0.047744";"-0.059875 +/- 0.052323";"-0.07185 (-0.07185;0)";"-0.07185 (-0.07185;0)";2.2756e-10;0.42714;0.60831;0.93023;0.93023
"X_259951.txt.gz1.tbl.gz";"-0.16078 +/- 0.045576";"-0.15566 +/- 0.057873";"-0.1912 (-0.1912;-0.0956)";"-0.1912 (-0.1912;-0.0956)";1.6313e-14;0.70271;0.19428;0.70271;0.70271
"X_26022.txt.gz1.tbl.gz";"0.0605 +/- 0.057759";"0.04266 +/- 0.044189";"0.06655 (0;0.1331)";"0.06655 (0;0.06655)";4.6616e-11;0.17102;0.10956;0.12239;0.12239
"X_260361.txt.gz1.tbl.gz";"-0.018345 +/- 0.039832";"-0.023285 +/- 0.048576";"0 (0;0)";"0 (0;0)";1.178e-16;0.66321;0.27696;0.66321;0.66321
"X_260959.txt.gz1.tbl.gz";"0.32153 +/- 0.084855";"0.29832 +/- 0.10957";"0.3723 (0.23269;0.3723)";"0.3723 (0.18615;0.3723)";3.0038e-14;0.36094;0.16623;0.36094;0.36094
"X_261756.txt.gz1.tbl.gz";"0.045636 +/- 0.059818";"0.047626 +/- 0.057719";"0 (0;0.1004)";"0 (0;0.1004)";4.8002e-13;0.88765;0.83767;0.88765;0.88765
"X_26204.txt.gz1.tbl.gz";"0.035044 +/- 0.062112";"0.03917 +/- 0.049848";"0.063288 (0.004275;0.065425)";"0.06115 (0.004275;0.065425)";1.7225e-06;0.24291;0.19225;0.74647;0.74647
"X_262553.txt.gz1.tbl.gz";"0.047218 +/- 0.04882";"0.036149 +/- 0.042689";"0.0742 (0;0.0742)";"0 (0;0.0742)";1.4752e-12;0.66842;0.43323;0.30072;0.30072
"X_263012.txt.gz1.tbl.gz";"0.10646 +/- 0.039754";"0.082741 +/- 0.047599";"0.099939 (0.0822;0.13612)";"0.083543 (0.049936;0.12035)";0.16701;0.23339;0.32199;0.035311;0.035311
"X_263150.txt.gz1.tbl.gz";"-0.073909 +/- 0.0588";"-0.06167 +/- 0.047827";"-0.06775 (-0.1355;0)";"-0.06775 (-0.06775;0)";4.5564e-10;0.059334;0.22183;0.31672;0.31672
"X_263610.txt.gz1.tbl.gz";"0.075045 +/- 0.056445";"0.11007 +/- 0.059";"0.08255 (0.020638;0.08255)";"0.08255 (0.08255;0.1651)";1.0932e-10;0.18054;0.80251;0.014785;0.014785
"X_263777.txt.gz1.tbl.gz";"0.070098 +/- 0.052662";"0.062752 +/- 0.046277";"0.06705 (0.016762;0.1341)";"0.06705 (0;0.06705)";4.0506e-10;0.33922;0.45074;0.52515;0.52515
"X_264766.txt.gz1.tbl.gz";"0.0483 +/- 0.049939";"0.036977 +/- 0.043667";"0.0759 (0;0.0759)";"0 (0;0.0759)";1.4752e-12;0.66842;0.43323;0.30072;0.30072
"X_266653.txt.gz1.tbl.gz";"0.14218 +/- 0.025727";"0.14171 +/- 0.0312";"0.15267 (0.12482;0.15267)";"0.15267 (0.12482;0.15267)";5.9115e-05;0.39094;0.29015;0.94849;0.94849
"X_26872.txt.gz1.tbl.gz";"0.057682 +/- 0.078102";"0.039317 +/- 0.056805";"0 (0;0.10575)";"0 (0;0.10575)";9.6448e-14;0.22267;0.055112;0.22267;0.22267
