"1 (n=45) Mean +/- SD";"2 (n=16) Mean +/- SD";"3 (n=39) Mean +/- SD";"1 (n=45) Median (IQR)";"2 (n=16) Median (IQR)";"3 (n=39) Median (IQR)";"Pval_Shapiro";"Pval_Levene";"Pval_Bartlett";"Pval_ANOVA*";"2 - 1 (Tukey*)";"3 - 1 (Tukey*)";"3 - 2 (Tukey*)";"FDR"
"X_131079.txt.gz1.tbl.gz";"0.092427 +/- 0.065053";"0.10831 +/- 0.067119";"0.10442 +/- 0.045241";"0.08665 (0.08665;0.1733)";"0.08665 (0.08665;0.1733)";"0.08665 (0.08665;0.12998)";1.6009e-10;0.029765;0.053771;0.52476;0.61707;0.61424;0.97238;0.955199552238806
"X_1310982.txt.gz1.tbl.gz";"0.06416 +/- 0.053621";"0.090169 +/- 0.054493";"0.061654 +/- 0.051783";"0.0687 (0;0.1374)";"0.10305 (0.0687;0.1374)";"0.0687 (0;0.0687)";3.7368e-10;0.69338;0.96343;0.173;0.21318;0.9743;0.16875;0.88338375
"X_13112179.txt.gz1.tbl.gz";"-0.11061 +/- 0.057214";"-0.099256 +/- 0.053489";"-0.11004 +/- 0.049798";"-0.1288 (-0.1713;-0.08565)";"-0.10755 (-0.1288;-0.04315)";"-0.1288 (-0.15005;-0.08565)";2.7986e-07;0.72161;0.68174;0.7517;0.74701;0.9987;0.77637;0.957245121951219
"X_1311450.txt.gz1.tbl.gz";"-0.093737 +/- 0.046982";"-0.11237 +/- 0.042813";"-0.097519 +/- 0.037935";"-0.06915 (-0.1383;-0.06915)";"-0.1383 (-0.1383;-0.06915)";"-0.06915 (-0.1383;-0.06915)";5.4615e-12;0.34887;0.40618;0.33168;0.29709;0.91378;0.47396;0.955199552238806
"X_1311926.txt.gz1.tbl.gz";"-0.027333 +/- 0.050782";"-0.025625 +/- 0.045839";"-0.02891 +/- 0.052311";"0 (0;0)";"0 (-0.025625;0)";"0 (-0.05125;0)";1.0712e-15;0.97462;0.83734;0.97462;0.99254;0.98876;0.97373;0.994466593886463
"X_1312420.txt.gz1.tbl.gz";"-0.053004 +/- 0.087709";"-0.018325 +/- 0.087041";"-0.036729 +/- 0.07476";"-0.07995 (-0.12325;0.0433)";"0 (-0.090775;0.054125)";"0 (-0.07995;0)";0.00010531;0.3536;0.57609;0.32868;0.32112;0.63906;0.73226;0.955199552238806
"X_1312652.txt.gz1.tbl.gz";"-0.17633 +/- 0.039707";"-0.16597 +/- 0.047081";"-0.16563 +/- 0.050981";"-0.1967 (-0.1967;-0.1967)";"-0.1967 (-0.1967;-0.09835)";"-0.1967 (-0.1967;-0.09835)";1.6314e-15;0.5139;0.27994;0.5139;0.71227;0.52912;0.99966;0.955199552238806
"X_1313214.txt.gz1.tbl.gz";"0.013408 +/- 0.054112";"0.036441 +/- 0.034038";"0.035348 +/- 0.047074";"0.01215 (-0.047225;0.06545)";"0.052657 (0.01215;0.06545)";"0.01215 (0.01215;0.06545)";9.2169e-07;0.38714;0.12644;0.080685;0.23732;0.10225;0.99682;0.736947
"X_1411534.txt.gz1.tbl.gz";"-0.052024 +/- 0.052638";"-0.048566 +/- 0.042854";"-0.045078 +/- 0.044624";"-0.0521 (-0.08535;0)";"-0.0521 (-0.08535;0)";"-0.0521 (-0.0521;0)";9.7285e-09;0.20041;0.46974;0.80505;0.96662;0.7854;0.96737;0.967324476439791
"X_14116129.txt.gz1.tbl.gz";"-0.0089778 +/- 0.042099";"-0.0505 +/- 0.090337";"-0.031077 +/- 0.073835";"0 (0;0)";"0 (-0.0505;0)";"0 (0;0)";1.2279e-18;0.067155;0.00013557;0.067155;0.074758;0.26523;0.56914;0.670090108695652
"X_1412334.txt.gz1.tbl.gz";"0.1354 +/- 0.045295";"0.1456 +/- 0.0448";"0.14474 +/- 0.05287";"0.1792 (0.0896;0.1792)";"0.1792 (0.0896;0.1792)";"0.1792 (0.0896;0.1792)";1.2584e-13;0.61453;0.56281;0.61453;0.74649;0.64867;0.99799;0.955199552238806
"X_1413137.txt.gz1.tbl.gz";"-0.063751 +/- 0.059289";"-0.044825 +/- 0.0567";"-0.043676 +/- 0.053915";"-0.08965 (-0.08965;0)";"0 (-0.08965;0)";"0 (-0.08965;0)";7.3086e-12;0.98145;0.83533;0.22932;0.48566;0.24111;0.99741;0.88338375
"X_1413393.txt.gz1.tbl.gz";"-0.084133 +/- 0.080718";"-0.070988 +/- 0.091803";"-0.042067 +/- 0.060269";"-0.1262 (-0.1262;0)";"0 (-0.1262;0)";"0 (-0.1262;0)";1.7024e-12;0.21332;0.083168;0.040995;0.81889;0.032005;0.399;0.537620142857143
"X_1413449.txt.gz1.tbl.gz";"-0.012824 +/- 0.046706";"-0.018723 +/- 0.030576";"-0.013597 +/- 0.029751";"0 (-0.046075;0.02295)";"0 (-0.046075;0)";"0 (-0.046075;0)";3.3485e-07;0.032775;0.0098149;0.86649;0.85684;0.9953;0.89387;0.991817730673317
"X_141353.txt.gz1.tbl.gz";"0.23209 +/- 0.061542";"0.24478 +/- 0.044591";"0.22763 +/- 0.071618";"0.2611 (0.2611;0.2611)";"0.2611 (0.2611;0.2611)";"0.2611 (0.2611;0.2611)";7.2991e-17;0.66174;0.12208;0.66174;0.7695;0.94409;0.63215;0.955199552238806
"X_141514.txt.gz1.tbl.gz";"0.15127 +/- 0.15539";"0.24092 +/- 0.18954";"0.16356 +/- 0.16613";"0.21415 (0;0.21415)";"0.21415 (0;0.4283)";"0.21415 (0;0.21415)";1.1593e-10;0.58363;0.62962;0.17225;0.15236;0.9376;0.25725;0.88338375
"X_1415721.txt.gz1.tbl.gz";"-0.16304 +/- 0.059099";"-0.16559 +/- 0.06309";"-0.18028 +/- 0.054633";"-0.2038 (-0.2038;-0.1019)";"-0.2038 (-0.2038;-0.1019)";"-0.2038 (-0.2038;-0.2038)";4.858e-15;0.37844;0.77554;0.37844;0.98739;0.36316;0.668;0.955199552238806
"X_1415817.txt.gz1.tbl.gz";"-0.059656 +/- 0.051423";"-0.0767 +/- 0.056014";"-0.0354 +/- 0.038736";"-0.0767 (-0.0767;0)";"-0.0767 (-0.095875;-0.057525)";"0 (-0.0767;0)";3.0994e-11;0.95581;0.12285;0.0080219;0.43551;0.055897;0.011799;0.193792215789474
"X_1458349.txt.gz1.tbl.gz";"0.29307 +/- 0.044134";"0.27795 +/- 0.061817";"0.28704 +/- 0.051938";"0.3067 (0.3067;0.3067)";"0.3067 (0.3067;0.3067)";"0.3067 (0.3067;0.3067)";1.2279e-18;0.57694;0.23678;0.57694;0.5545;0.84614;0.81365;0.955199552238806
"X_219055.txt.gz1.tbl.gz";"-0.080503 +/- 0.047442";"-0.066003 +/- 0.02894";"-0.077711 +/- 0.04935";"-0.081225 (-0.11543;-0.045092)";"-0.068629 (-0.084735;-0.049058)";"-0.070767 (-0.11451;-0.043417)";0.66525;0.054677;0.073315;0.55332;0.52124;0.95771;0.66375;0.955199552238806
"X_224720.txt.gz1.tbl.gz";"0.036966 +/- 0.05108";"0.043775 +/- 0.045211";"0.031428 +/- 0.047049";"0 (0;0.08755)";"0.043775 (0;0.08755)";"0 (0;0.08755)";1.0439e-13;0.64243;0.80047;0.68138;0.87911;0.86006;0.66674;0.955199552238806
"X_233372.txt.gz1.tbl.gz";"0.13638 +/- 0.04029";"0.12453 +/- 0.040834";"0.12057 +/- 0.047931";"0.1594 (0.0797;0.1594)";"0.1594 (0.0797;0.1594)";"0.1594 (0.0797;0.1594)";6.092e-14;0.23973;0.51001;0.23973;0.61616;0.22277;0.94897;0.899975853658537
"X_235819.txt.gz1.tbl.gz";"-0.013816 +/- 0.053517";"-0.00020315 +/- 0.064231";"-0.016357 +/- 0.051491";"-0.011214 (-0.050729;0.013243)";"0.012596 (-0.045986;0.054188)";"-0.015921 (-0.049443;0.006225)";0.60295;0.47759;0.56251;0.59805;0.66518;0.97503;0.57664;0.955199552238806
"X_24217.txt.gz1.tbl.gz";"-0.043836 +/- 0.050466";"-0.030822 +/- 0.044324";"-0.028903 +/- 0.038648";"0 (-0.07045;0)";"0 (-0.07045;0)";"0 (-0.07045;0)";1.2456e-12;0.28794;0.24691;0.28794;0.58205;0.28731;0.98865;0.933027534246575
"X_242927.txt.gz1.tbl.gz";"-0.050169 +/- 0.042835";"-0.0498 +/- 0.051433";"-0.062995 +/- 0.045569";"-0.0664 (-0.0664;0)";"-0.0664 (-0.0664;0)";"-0.0664 (-0.0664;-0.0332)";1.7115e-10;0.50685;0.67647;0.38382;0.99956;0.39845;0.58737;0.955199552238806
"X_247454.txt.gz1.tbl.gz";"0.031751 +/- 0.043875";"0.0423 +/- 0.054703";"0.034708 +/- 0.04514";"0 (0;0.0752)";"0 (0;0.0752)";"0 (0;0.0752)";3.8886e-13;0.73569;0.5468;0.73569;0.71055;0.95338;0.84313;0.957245121951219
"X_250549.txt.gz1.tbl.gz";"0.062533 +/- 0.05229";"0.08375 +/- 0.04577";"0.077308 +/- 0.049898";"0.067 (0;0.134)";"0.067 (0.067;0.134)";"0.067 (0.067;0.134)";4.0419e-10;0.78777;0.82509;0.24117;0.31768;0.37278;0.90181;0.899975853658537
"X_251514.txt.gz1.tbl.gz";"0.18208 +/- 0.035558";"0.16309 +/- 0.035457";"0.16987 +/- 0.043341";"0.17198 (0.17198;0.2156)";"0.17198 (0.12835;0.17364)";"0.17198 (0.12835;0.2156)";7.9215e-09;0.35566;0.39977;0.16607;0.21393;0.32125;0.82437;0.88338375
"X_251657.txt.gz1.tbl.gz";"-0.051827 +/- 0.1056";"-0.033638 +/- 0.097577";"-0.0276 +/- 0.065574";"0 (0;0)";"0 (0;0)";"0 (0;0)";4.2378e-17;0.45865;0.012356;0.45865;0.76776;0.43935;0.9723;0.955199552238806
"X_252456.txt.gz1.tbl.gz";"-0.076084 +/- 0.044178";"-0.084788 +/- 0.051241";"-0.089446 +/- 0.038118";"-0.0646 (-0.1292;-0.0646)";"-0.0969 (-0.1292;-0.0646)";"-0.0646 (-0.1292;-0.0646)";5.6913e-11;0.33483;0.35218;0.36265;0.76557;0.33299;0.92885;0.955199552238806
"X_252653.txt.gz1.tbl.gz";"0.091949 +/- 0.065002";"0.10682 +/- 0.075033";"0.13608 +/- 0.054095";"0.08995 (0.08995;0.1799)";"0.08995 (0.067463;0.1799)";"0.1799 (0.08995;0.1799)";1.0932e-10;0.44059;0.26327;0.0069931;0.69206;0.0049056;0.25936;0.17832405
